event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0270,Q0463,ES02,ES02E07,eliminated,-,-,"""Les espero con el bocadillo de Teró, chiquillas. 💋"""
E0271,Q0462,ES02,ES02E08,eliminated,-,-,"""Ce n'est qu'un au revoir les filles! Je vous aime.♥ Arriba esos CHICHIS! Juriji ♥💋"""
E0272,Q0461,ES02,ES02E11,eliminated,-,-,-
E0273,Q0481,ES03,ES03E01,eliminated,-,-,"""Luchen Siempre X Sus Sueños. XOXO Maria Edilia."""
E0274,Q0480,ES03,ES03E02,eliminated,-,-,"""No se olviden de ser únicas. Les espero en el paraíso. Chuchi."""
E0275,Q0479,ES03,ES03E03,eliminated,-,-,"""Manteneos fieles a vosotores mismas, aunque vayas al infierno. Os quiero, desgraciadas.❤️"""
E0276,Q0473,ES03,ES03E04,eliminated,-,-,"Gracias a todas por enseñarme tanto y por todo el amor que me llevo. No dejéis nunca de soñar! Pd. ¡Limpia, zorra!"
E0277,Q0457,ES03,ES03E05,eliminated,-,-,"Nunca, Nunca, Nunca Os Rindais, Os quiero mucho. PD Tonta la que lo lea. The Macarena."
E0278,Q0478,ES03,ES03E06,eliminated,-,-,"Lo más importante es lo que hay en tu mente y en tu corazón. ❤️ PD. Gira por Latinoamérica! Los quiere, LA GRAN VISA. ❤️ Wooow."
E0279,Q0476,ES03,ES03E07,eliminated,-,-,-
E0280,Q0473,ES03,ES03E07,returned,-,-,-
E0281,Q0475,ES03,ES03E08,eliminated,-,-,"SIEMPRE LIBRES, ZORRAS E IMPARABLES. Quiero oíros rugir. OS AMO, Bestiah."
E0282,Q0474,ES03,ES03E09,eliminated,-,-,"Sed fieles a vosotre mismes y aprovechad la oportunidad. No se repite 2 veces. Os amo, Clover. ❤️ PD: KEEEE?!!"
E0283,Q0472,ES03,ES03E11,eliminated,-,-,-
E0284,Q0493,ES04,ES04E01,eliminated,-,-,"""Cuidad mucho de mi spot, así come yo cuidaré con cálculos de vosotras, HERMANAS!!! 💋 Shani LS."""
E0285,Q0492,ES04,ES04E02,eliminated,-,-,"""Chicxs, sois lo mejor que me ha sucedido en mucho tiempo. OS AMO, PORCA."""
E0286,Q0491,ES04,ES04E03,eliminated,-,-,"""SUTILEZA ♡ Cocó, Khristo ♡ Mariana te amo gana por mi 💘."""
E0287,Q0490,ES04,ES04E04,eliminated,-,-,"""Jamás pensé que llegaría a escribir en este espejo. Pues mira, AQUÍ ESTOY. Pero lo que de verdad JAMÁS habría imaginado, era conocer a estas pedazo de tías tan chulas. OS AMOOOOOOO! ¡Arriba el eje del MAL! 🎭."""
E0288,Q0489,ES04,ES04E05,eliminated,-,-,"""💋 Nunca imaginé estar dondo estoy pero nunca imaginé que esto sería el principio de algo muy GRANDE. Próxima parada, VOGUE. Os amo a todas."""
E0289,Q0488,ES04,ES04E07,eliminated,-,-,-
E0290,Q0487,ES04,ES04E08,eliminated,-,-,-
E0291,Q0486,ES04,ES04E09,eliminated,-,-,-
E0292,Q0485,ES04,ES04E11,eliminated,-,-,-
E0293,Q0484,ES04,ES04E12,eliminated,-,-,-
E0294,Q0505,ES05,ES05E02,eliminated,-,-,TBA
E0295,Q0503,ES05,ES05E04,eliminated,-,-,-
E0296,Q0502,ES05,ES05E05,eliminated,-,-,"Besos, buena suerte. Satín, gana."
E0297,Q0501,ES05,ES05E06,eliminated,-,-,"Disfrutad de lo que os queda aquí igual de lo que yo he disfrutado ser yo misma con vosotras, gracias."
E0298,Q0500,ES05,ES05E07,eliminated,-,-,Todes juntes: 3… 2… 1… ME LA PELA!
E0299,Q0499,ES05,ES05E08,eliminated,-,-,"Os quiero con toda mi alma. Nos vemos fuera, hermanas. ❤️"
E0300,Q0498,ES05,ES05E09,eliminated,-,-,TBA
E0301,Q0477,ESAS01,ESAS01E01,eliminated,-,-,"""BONITURAS, ¡HASTA SIEMPRE! ¡DIVERTÍOS! - Pink Chadora ∞"""
E0302,Q0465,ESAS01,ESAS01E02,eliminated,-,-,"""El mejor mensaje de espejo del mundo. #TEAMSETHLAS - ONYX UNLEASHED"""
E0303,Q0476,ESAS01,ESAS01E03,eliminated,-,-,"""¡Que pena que el concurso empiece justo cuando me voy! Lucha Hornella!!! -PKT"""
E0304,Q0451,ESAS01,ESAS01E04,eliminated,-,-,"""Happy barry tu yu, ahora esto lo limpias tú. Os amo, #teampupiporsiempre."""
E0305,Q0452,ESAS01,ESAS01E05,eliminated,-,-,"""TBA"""
E0306,Q0390,FR01,FR01E01,eliminated,-,-,"""Bisous❤️ on s'appelle on se fait une raclette ! Bertha + Soa❤️ it's yours."""
E0307,Q0512,FR01,FR01E02,eliminated,-,-,"""I love you déchirez toutes. A trés vite, [sic] Lova Ladiva ho thank you ❤️Lova!!!"""
