lip_sync_id,episode_id,song_id,queen_a_id,queen_b_id,winner_id,loser_id,result_type,was_save,notes
L0322,US03E03,S0211,Q0027,Q0032,Q0027,Q0032,NORMAL,No,Phoenix eliminated
L0323,US03E04,S0019,Q0030,Q0031,Q0030,Q0031,NORMAL,No,Mimi eliminated (carried India - reprimanded)
L0324,US03E05,S0020,Q0030,Q0028,Q0028,Q0030,NORMAL,No,India eliminated
L0325,US03E06,S0021,Q0027,Q0029,Q0027,Q0029,NORMAL,No,Mariah eliminated
L0326,US03E07,S0022,Q0024,Q0028,Q0024,Q0028,NORMAL,No,Stacy eliminated
L0327,US03E08,S0023,Q0027,Q0023,Q0023,Q0027,NORMAL,No,Delta eliminated
L0328,US03E09,S0024,Q0026,Q0025,,,SHANTAY,Yes,first-ever non-elimination; both saved
L0329,US03E10,S0025,Q0026,Q0021,Q0021,Q0026,NORMAL,No,Carmen eliminated (1st time)
L0330,US03E11,S0026,Q0024,Q0021,Q0024,Q0021,NORMAL,No,Shangela eliminated
L0331,US03E12,S0027,Q0026,Q0022,Q0022,Q0026,NORMAL,No,Carmen re-eliminated (returned this ep); 5th
L0332,US03E13,S0028,Q0024,Q0025,Q0024,Q0025,NORMAL,No,Yara eliminated
L0333,US03E15,S0029,Q0023,Q0022,Q0022,,CROWN,No,finale; Raja crowned
L0346,US06E01,S0052,Q0074,Q0072,Q0072,Q0074,NORMAL,No,Kelly eliminated
L0347,US06E02,S0053,Q0064,Q0073,Q0064,Q0073,NORMAL,No,Magnolia eliminated
L0348,US06E03,S0054,Q0071,Q0072,Q0071,Q0072,NORMAL,No,Vivacious eliminated
L0349,US06E04,S0055,Q0071,Q0067,Q0067,Q0071,NORMAL,No,April eliminated
L0350,US06E05,S0056,Q0070,Q0068,Q0068,Q0070,NORMAL,No,Gia eliminated
L0351,US06E06,S0057,Q0069,Q0067,Q0067,Q0069,NORMAL,No,Milk eliminated
L0352,US06E07,S0058,Q0065,Q0064,,,SHANTAY,Yes,double shantay - none eliminated
L0353,US06E08,S0059,Q0066,Q0068,Q0066,Q0068,NORMAL,No,Laganja eliminated
L0354,US06E09,S0060,Q0062,Q0067,Q0062,Q0067,NORMAL,No,Trinity eliminated
L0355,US06E10,S0061,Q0062,Q0066,Q0062,Q0066,NORMAL,No,Joslyn eliminated
L0356,US06E11,S0062,Q0065,Q0064,Q0064,Q0065,NORMAL,No,BenDeLaCreme eliminated (qualify for finale LS)
L0357,US06E12,S0063,Q0062,Q0061,Q0061,,CROWN,No,finale 3-way (Adore/Bianca/Courtney); Bianca crowned
L0358,US05E01,S0041,Q0060,Q0059,Q0059,Q0060,NORMAL,No,Penny eliminated
L0359,US05E02,S0042,Q0058,Q0059,Q0058,Q0059,NORMAL,No,Serena eliminated
L0360,US05E03,S0043,Q0051,Q0058,Q0051,Q0058,NORMAL,No,Monica eliminated
L0361,US05E04,S0205,Q0057,Q0056,,,SASHAY,No,double sashay - both eliminated
L0362,US05E05,S0045,Q0050,Q0055,Q0050,Q0055,NORMAL,No,Lineysha eliminated
