song_id,title,artist,times_used,spotify_track_id,is_rumix,catalog
S0182,Body,Megan Thee Stallion,1,0A1hoCfMLkiAgvhWkkucJa,No,LIPSYNC
S0183,Miss Me More,Kelsea Ballerini,1,5NfJGBAL9mgFPRQxKJmiX2,No,LIPSYNC
S0184,Better Be Good to Me,Tina Turner,1,6YytY6PPvAEp1MluJ49nP0,No,LIPSYNC
S0185,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,7eheoW4hxrH51ww2QePVwF,No,LIPSYNC
S0186,Padam Padam,Kylie Minogue,1,44MuEHdlociG8KjhPhOVw5,No,LIPSYNC
S0187,Woman's World,Katy Perry,1,-,No,LIPSYNC
S0188,Alter Ego,"Doechii, JT",1,-,No,LIPSYNC
S0190,Buttons,The Pussycat Dolls ft. Snoop Dogg,1,-,No,LIPSYNC
S0191,Boogie Wonderland,"Earth, Wind & Fire, The Emotions",1,6ztstiyZL6FXzh4aG46ZPD,No,LIPSYNC
S0192,Love Child,Diana Ross & The Supremes,1,-,No,LIPSYNC
S0193,APT.,"Rosé, Bruno Mars",1,5vNRhkKd0yEAg8suGBpjeY,No,LIPSYNC
S0194,Training Season,Dua Lipa,2,6Qb7YsAqH4wWFUMbGsCpap,No,LIPSYNC
S0195,Total Eclipse of the Heart,Bonnie Tyler,2,7wuJGgpTNzbUyn26IOY6rj,No,LIPSYNC
S0196,Super Graphic Ultra Modern Girl,Chappell Roan,2,-,No,LIPSYNC
S0197,Boys Don't Cry,Anitta,1,35COLcFjvONwVv6jkG23gI,No,LIPSYNC
S0198,Do You Wanna Touch Me (Oh Yeah),Joan Jett,1,-,No,LIPSYNC
S0199,It's All Coming Back to Me Now,Céline Dion,2,5EQzuYfTZt7B2LqlvTF49l,No,LIPSYNC
S0200,Tell It to My Heart,Taylor Dayne,2,3YVPpVJvJG2EauXurPA90F,No,LIPSYNC
S0201,I'm in Love with a Monster,Fifth Harmony,1,0hO71r8vbnrXSaXVrR9ptF,No,LIPSYNC
S0202,Don't Go Yet,Camila Cabello,1,1qCHidBbWAgv3pn6UbZ4Lg,No,LIPSYNC
S0203,Thats What I Want,Lil Nas X,1,0e8nrvls4Qqv5Rfa2UhqmO,No,LIPSYNC
S0204,Running Up That Hill (A Deal with God),Kate Bush,1,1PtQJZVZIdWIYdARpZRDFO,No,LIPSYNC
S0205,Oops!... I Did It Again,Britney Spears,1,6naxalmIoLFWR0siv8dnQQ,No,LIPSYNC
S0206,Two to Make It Right,Seduction,1,0n6Eg4mD1tfhnLs5jswEM2,No,LIPSYNC
S0207,The Beginning,RuPaul,1,2kCXEZLsTDf6vdgQHJkboU,Yes,LIPSYNC
S0208,Supermodel (You Better Work),RuPaul,1,36Rpz4MZQhGknLEmTmHr8v,Yes,LIPSYNC
S0209,I Hear You Knocking,Wynonna Judd,1,1LFvcyg3bpq7AffqwuZ13K,No,LIPSYNC
S0210,Jealous of My Boogie (Gomi and RasJek Edit),RuPaul,1,1QnYyVU3qF90dMdvlOAxbw,Yes,LIPSYNC
S0211,Bad Romance,Lady Gaga,2,-,No,LIPSYNC
S0212,Mi Vida Loca (My Crazy Life),Pam Tillis,1,10XPQ01LMDmvwDdOsVlPc1,No,LIPSYNC
S0213,It's Raining Men... The Sequel,Martha Wash and RuPaul,1,-,Yes,LIPSYNC
S0214,Glamazon,RuPaul,1,31Ugwrt7tEmrWUImVdx8Lp,Yes,LIPSYNC
S0215,Lovergirl,Teena Marie,2,6JGEFDAbkolVtylkQfnnom,No,LIPSYNC
S0216,Mesmerized (Freemasons Radio Edit),Faith Evans,1,-,No,LIPSYNC
S0217,I Don't Like to Show Off,RuPaul,1,4BzTvIGmtM0mzp6hMWaKrB,Yes,LIPSYNC
S0218,So Emotional,Whitney Houston,1,4l2Edgdj4vla02GCh7YyAv,No,LIPSYNC
S0219,It's Not Right But It's Okay (Thunderpuss Remix),Whitney Houston,1,5OqmLY18KXsZR1aGrXP3ZI,No,LIPSYNC
S0220,Man! I Feel Like a Woman!,Shania Twain,1,-,No,LIPSYNC
S0221,Nasty,Janet Jackson,2,-,No,LIPSYNC
S0222,If,Janet Jackson,1,-,No,LIPSYNC
S0223,The Best of Both Worlds,Hannah Montana,1,-,No,LIPSYNC
S0224,Waiting for Tonight (Hex Hector Mix),Jennifer Lopez,1,5WD55ZJWhumwIDGau2Q9lM,No,LIPSYNC
S0225,I'm Your Baby Tonight,Whitney Houston,1,3SmPl0CGxvvkQCrTv7edEE,No,LIPSYNC
S0226,Pride (A Deeper Love),Aretha Franklin,1,0tUw4tn3mWIDW705HLKE9B,No,LIPSYNC
S0227,Bootylicious,Destiny's Child,1,41nT1Sp6ChR65FbsdLlFHW,No,LIPSYNC
S0228,SOS,Rihanna,1,-,No,LIPSYNC
S0229,The Edge of Glory,Lady Gaga,1,-,No,LIPSYNC
S0230,Call Me Maybe,Carly Rae Jepsen,1,-,No,LIPSYNC
S0231,The Pleasure Principle,Janet Jackson,1,-,No,LIPSYNC
S0232,Rumors,Lindsay Lohan,1,-,No,LIPSYNC
S0233,Ex's & Oh's,Elle King,1,70eDxAyAraNTiD6lx2ZEnH,No,LIPSYNC
S0234,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, Pink",1,-,No,LIPSYNC
S0235,Hit 'Em Up Style (Oops!),Blu Cantrell,1,4zYTZvtcww7OWKie7fxA9E,No,LIPSYNC
S0236,Boss,Fifth Harmony,1,1COvXs6jaykXC73h9OSBVM,No,LIPSYNC
S0237,I Learned from the Best (HQ2 Radio Mix),Whitney Houston,1,7Jilzv5KVTsFzBntCuXBYw,No,LIPSYNC
S0238,Gimme More,Britney Spears,1,6ic8OlLUNEATToEFU3xmaH,No,LIPSYNC
S0239,Till the World Ends,Britney Spears,1,38iU2jg98IZZEIJPrP7aWD,No,LIPSYNC
S0240,Fallin',Alicia Keys,1,0KQx6HOpJueiSkztcS0r7D,No,LIPSYNC
S0241,One Way or Another,Blondie,1,-,No,LIPSYNC
S0242,Un-Break My Heart (Soul-Hex Radio Mix),Toni Braxton,1,7l20MvgVlBZCpKzWQIByRb,No,LIPSYNC
S0243,Something's Got a Hold on Me,Etta James,1,74PShnlkhVYKKCCkVguMxF,No,LIPSYNC
S0244,Respect,Aretha Franklin,1,7s25THrKz86DM225dOYwnr,No,LIPSYNC
S0245,Never Too Much,Luther Vandross,1,3nFJbZCHP4d9vduKjJLdBL,No,LIPSYNC
S0246,Radio,Beyoncé,1,1l0LovwzqV3leLDHOz7zJ6,No,LIPSYNC
S0247,Don't Let Go (Love),En Vogue,1,06TuMCjDEYjTOJScCRzmjf,No,LIPSYNC
S0248,Love Don't Cost a Thing,Jennifer Lopez,1,1fgvJXlcZ7uIddMpqsqw0L,No,LIPSYNC
S0249,Swept Away,Diana Ross,1,3U3eFYWcekCDDFnYYctCnp,No,LIPSYNC
S0250,Heartbreak Hotel (Hex Hector Remix),"Whitney Houston ft. Faith Evans, Kelly Price",1,430gOpaoFqaSx7RyebR9WE,No,LIPSYNC
S0251,Gimme! Gimme! Gimme! (A Man After Midnight),Cher,1,78IHA9UJHnvQdCwbp3P5Vu,No,LIPSYNC
S0252,Bloody Mary (Wednesday Dance TikTok Version),Lady Gaga,1,-,No,LIPSYNC
S0253,Damaged,Danity Kane,1,4yHFxB8kzzeuNvoouR8N0N,No,LIPSYNC
S0254,What About,Janet Jackson,1,-,No,LIPSYNC
S0255,Million Dollar Baby,Ava Max,1,3wFM8TWbbkwPuB6TyqpVDv,No,LIPSYNC
S0256,Alone 2.0,"Kim Petras, Nicki Minaj",1,-,No,LIPSYNC
S0257,Milkshake,Kelis,1,4LmzPJDil70LpiApWfOI6O,No,LIPSYNC
S0258,The Shoop Shoop Song,Cher,1,5d3Rr7y4MdWRPX3JTFAAkM,No,LIPSYNC
S0259,This Time I Know It's for Real,Donna Summer,1,6ez4yXpLini3DSbaLR10qZ,No,LIPSYNC
S0260,We Got the Beat,The Go-Go's,1,-,No,LIPSYNC
S0261,"Yes, And?",Ariana Grande,1,-,No,LIPSYNC
S0262,(It's Just) The Way That You Love Me,Paula Abdul,1,-,No,LIPSYNC
S0263,Get Him Back!,Olivia Rodrigo,1,-,No,LIPSYNC
S0264,Hands to Myself,Selena Gomez,1,-,No,LIPSYNC
S0265,Wet Dream,Adam Lambert,1,36zsglX5YidsXku7nBbaoO,No,LIPSYNC
S0266,Kiss Me Deadly,Lita Ford,1,0kFM6t9htbB53Dg8frGDGh,No,LIPSYNC
S0267,Ya Ya,Beyoncé,1,0K9tfzrxJyCQIf7oAlPwaK,No,LIPSYNC
S0268,Unholy,"Sam Smith, Kim Petras",1,-,No,LIPSYNC
S0269,Illusion,Dua Lipa,1,5q0EXnBYyeCdXD72FzJxH0,No,LIPSYNC
S0270,1 Thing,Amerie,1,1mnqraQ8oV8MX92rdOFLWW,No,LIPSYNC
S0271,Say Liza (Liza with a Z),Liza Minnelli,1,32KdcFik1xqw2XIDEAh5J1,No,LIPSYNC
S0272,Step By Step (Junior Vasquez Tribal X Beats),Whitney Houston,1,5At1X0xNAvi7azWbXr3pfN,No,LIPSYNC
S0273,Blow Me (One Last Kiss),P!nk,1,4k80K0b6KZ2QjAYkXON7q6,No,LIPSYNC
S0274,We Found Love,Rihanna ft. Calvin Harris,1,-,No,LIPSYNC
S0275,360,Charli XCX,1,4w2GLmK2wnioVnb5CPQeex,No,LIPSYNC
S0276,Abracadabra,Lady Gaga,1,-,No,LIPSYNC
S0277,Enough (Miami),Cardi B,1,3j4AWNKYVeL9njKINCTzKm,No,LIPSYNC
S0278,Too Much,Dove Cameron,1,6lKSOnC9iLGDonypMgvGrm,No,LIPSYNC
S0279,Love in Real Life,Lizzo,1,6ctXNrMXw3r6hgzGDhcG9f,No,LIPSYNC
S0280,Lights Camera Action,Kylie Minogue,1,1vbhiBKv5Tyfx75BOoTbdU,No,LIPSYNC
S0281,Pretty Ugly,Zara Larsson,1,0lWcOHxfnxj1GlVr4zpnyD,No,LIPSYNC
S0282,Houdini,Dua Lipa,1,6D8y7Bck8h11byRY88Pt2z,No,LIPSYNC
S0283,Head Over Heels,The Go-Go's,1,-,No,LIPSYNC
S0284,Call Me When You Break Up,"Selena Gomez, Benny Blanco, Gracie Abrams",1,-,No,LIPSYNC
S0285,We Can't Be Friends (Wait for Your Love),Ariana Grande,1,-,No,LIPSYNC
S0286,Every Girl You've Ever Loved,Miley Cyrus ft. Naomi Campbell,1,22WFoPT9VIJlZ0VcJVkCpm,No,LIPSYNC
S0287,Emotions,Mariah Carey,1,0cELvuwJW1acISUHYB6suj,No,LIPSYNC
S0288,Into You,Ariana Grande,1,-,No,LIPSYNC
S0289,How Will I Know,Whitney Houston,1,5tdKaKLnC4SgtDZ6RlWeal,No,LIPSYNC
S0290,The Bitch is Back,Tina Turner,1,3gSqBCp0ueCA1qzV8yknPC,No,LIPSYNC
S0291,Jump To It,Aretha Franklin,1,3KA9RQid1Z7oX3RUJiWHn1,No,LIPSYNC
S0292,You Spin Me Round (Like a Record),Dead Or Alive,2,1ChulFMnwxoD74Me8eX2TU,No,LIPSYNC
S0293,Come Rain Or Come Shine,Judy Garland,1,7AgTjmzjrZ0WAOoKppsqP7,No,LIPSYNC
S0294,When I Think Of You,Janet Jackson,1,-,No,LIPSYNC
S0295,Fighter,Christina Aguilera,1,7nXq1vaZiz7PdbfojpPjW5,No,LIPSYNC
S0296,Think U The Shit (Fart),Ice Spice,1,-,No,LIPSYNC
S0297,Murder on the Dancefloor,Sophie Ellis-Bextor,1,-,No,LIPSYNC
S0298,Pocketbook,Jennifer Hudson ft. Ludacris,1,1KV4dpojhhHm6YqgGxyodQ,No,LIPSYNC
S0299,Love Sensation,Loleatta Holloway,1,3su8VunluUL4Oj7UTTEREt,No,LIPSYNC
S0300,HOT TO GO!,Chappell Roan,1,-,No,LIPSYNC
S0301,Texas Hold 'Em,Beyoncé,1,0Z7nGFVCLfixWctgePsRk9,No,LIPSYNC
S0302,Defying Gravity,"Idina Menzel, Kristen Chenowith, and the Original Broadway Cast of",1,1YeD9xHDe2LCgUjRJebFqF,No,LIPSYNC
S0303,See You Again,Miley Cyrus,1,-,No,LIPSYNC
S0304,Mama Used To Say,Junior,1,31N54MHEWe7sx4TkIKjejo,No,LIPSYNC
S0305,Who's Zoomin' Who - Acapella Mix,Aretha Franklin,1,0Due9V6QVVzXuNRxZThhHW,No,LIPSYNC
